,name,company,year,Price,kms_driven,fuel_type
0,Mahindra Jeep CL550,Mahindra,2006,425000,40.0,Diesel
1,Mahindra Jeep CL550,Mahindra,2006,425000,40.0,Diesel
2,Mahindra Jeep MM,Mahindra,2019,390000,60.0,Diesel
3,Mahindra Jeep CL550,Mahindra,2018,385000,588.0,Diesel
4,Maruti Suzuki Swift,Maruti,2019,610000,73.0,Petrol
5,Mahindra Jeep MM,Mahindra,2019,390000,60.0,Diesel
6,Mahindra Jeep CL550,Mahindra,2018,385000,588.0,Diesel
7,Mahindra Jeep MM,Mahindra,2006,425000,122.0,Diesel
8,Toyota Innova 2.5,Toyota,2012,770000,0.0,Diesel
9,Nissan X Trail,Nissan,2019,1200000,300.0,Diesel
10,Maruti Suzuki Swift,Maruti,2011,230000,65.0,Petrol
11,Tata Tigor Revotron,Tata,2019,650000,100.0,Diesel
12,Mahindra Jeep MM,Mahindra,2004,424000,383.0,Diesel
13,Ford Figo Petrol,Ford,2019,525000,0.0,Petrol
14,Maruti Suzuki Zen,Maruti,2009,125000,0.0,Petrol
15,Hyundai Creta 1.6,Hyundai,2019,1200000,0.0,Petrol
16,Tata Tiago Revotorq,Tata,2019,568500,0.0,Petrol
